Hero,Deck,Winrate,Popular,Games
죽음의 기사,Plague Death Knight,48.6%,4.9%,"5,600"
죽음의 기사,혈기 죽음의 기사,47.6%,1.1%,"1,200"
죽음의 기사,Highlander Blood Death Knight,42.0%,0.3%,360
죽음의 기사,냉기 죽음의 기사,42.1%,0.2%,190
죽음의 기사,Rainbow Death Knight,22.4%,0.10%,110
죽음의 기사,기타,34.4%,0.08%,93
악마사냥꾼,어그로 악마사냥꾼,52.8%,23.4%,"27,000"
드루이드,용 드루이드,48.9%,3.8%,"4,300"
드루이드,하이랜더 드루이드,46.3%,3.3%,"3,800"
드루이드,나무정령 드루이드,45.1%,0.2%,200
드루이드,기타,34.7%,0.3%,370
사냥꾼,사냥개 사냥꾼,47.6%,2.0%,"2,300"
사냥꾼,하이랜더 사냥꾼,48.2%,0.6%,730
사냥꾼,비전 사냥꾼,46.9%,0.4%,400
사냥꾼,기타,47.5%,0.09%,100
마법사,Rainbow Mage,51.0%,8.3%,"9,600"
마법사,Mining Mage,47.3%,4.7%,"5,400"
마법사,비밀 마법사,42.3%,0.4%,440
성기사,Showdown Paladin,52.5%,9.2%,"10,000"
성기사,어그로 성기사,51.2%,4.9%,"5,600"
성기사,하이랜더 성기사,49.9%,3.4%,"3,900"
성기사,기타,35.0%,0.3%,300
사제,컨트롤 사제,47.3%,2.5%,"2,800"
사제,하이랜더 사제,40.4%,0.1%,160
사제,언데드 사제,44.1%,0.1%,130
사제,Automaton Priest,44.3%,0.06%,70
사제,Ogre Priest,44.1%,0.06%,68
사제,기타,47.2%,0.2%,210
도적,미라클 도적,48.5%,1.4%,"1,600"
도적,Mech Rogue,51.9%,0.8%,960
도적,Wishing Rogue,42.3%,0.7%,760
도적,Ogre Rogue,41.5%,0.4%,400
도적,Big Rogue,44.0%,0.3%,290
도적,Mining Rogue,36.3%,0.2%,250
도적,비밀 도적,57.5%,0.07%,80
도적,기타,47.0%,0.4%,400
주술사,하이랜더 주술사,52.6%,9.2%,"10,000"
주술사,자연 주술사,47.3%,0.8%,970
주술사,기타,37.2%,0.2%,170
흑마법사,Mining Warlock,44.1%,0.5%,590
흑마법사,하이랜더 흑마법사,41.8%,0.3%,320
흑마법사,타디우스 흑마법사,48.8%,0.2%,280
흑마법사,Sludge Warlock,35.3%,0.2%,230
흑마법사,저주 흑마법사,46.9%,0.10%,110
흑마법사,기타,50.4%,0.6%,670
전사,격노 전사,53.8%,4.9%,"5,600"
전사,컨트롤 전사,50.5%,2.4%,"2,800"
전사,하이랜더 전사,43.3%,0.3%,390
전사,기타,38.0%,0.1%,120
