,Plague Death Knight,용 드루이드,어그로 성기사,컨트롤 전사,Mining Warlock,하이랜더 드루이드,사냥개 사냥꾼,부정 죽음의 기사,Showdown Paladin,Rainbow Mage,혈기 죽음의 기사,Unnamed: 12,언데드 사제,어그로 악마사냥꾼
Plague Death Knight,"Plague Death Knight
Mirror matchup",40.89%,38.11%,57.41%,47.02%,61.27%,40.70%,62.65%,39.87%,47.81%,63.12%,59.53%,46.02%,50.39%
용 드루이드,59.10%,"용 드루이드
Mirror matchup",31.56%,58.09%,55.68%,50.18%,51.58%,76.94%,31.29%,61.63%,68.24%,58.47%,64.10%,60.93%
어그로 성기사,61.88%,68.43%,"어그로 성기사
Mirror matchup",68.03%,62.50%,72.85%,63.61%,62.61%,43.42%,57.72%,72.52%,70.44%,60.34%,50.26%
컨트롤 전사,42.58%,41.90%,31.96%,"컨트롤 전사
Mirror matchup",35.92%,36.62%,44.75%,64.25%,43.11%,53.39%,66.94%,55.07%,54.24%,49.28%
Mining Warlock,52.97%,44.31%,37.49%,64.07%,"Mining Warlock
Mirror matchup",42.77%,45.14%,64.30%,43.70%,53.20%,67.48%,62.16%,49.71%,45.14%
하이랜더 드루이드,38.72%,49.81%,27.14%,63.37%,57.22%,"하이랜더 드루이드
Mirror matchup",47.59%,67.98%,34.41%,57.93%,72.74%,57.92%,56.72%,46.61%
사냥개 사냥꾼,59.29%,48.41%,36.38%,55.24%,54.85%,52.40%,"사냥개 사냥꾼
Mirror matchup",68.22%,36.02%,60.16%,68.97%,61.65%,53.33%,54.01%
부정 죽음의 기사,37.34%,23.05%,37.38%,35.74%,35.69%,32.01%,31.77%,"부정 죽음의 기사
Mirror matchup",25.35%,34.27%,40.07%,46.54%,37.24%,47.00%
Showdown Paladin,60.12%,68.70%,56.57%,56.88%,56.29%,65.58%,63.97%,74.64%,"Showdown Paladin
Mirror matchup",61.02%,69.16%,73.57%,60.62%,59.76%
Rainbow Mage,52.18%,38.36%,42.27%,46.60%,46.79%,41.93%,39.83%,65.72%,38.97%,"Rainbow Mage
Mirror matchup",65.49%,60.68%,48.64%,47.28%
혈기 죽음의 기사,36.87%,31.75%,27.47%,33.05%,32.51%,27.25%,31.02%,59.92%,30.83%,34.50%,"혈기 죽음의 기사
Mirror matchup",48.93%,32.22%,41.42%
,40.33%,41.52%,29.55%,44.74%,37.83%,41.93%,38.34%,53.45%,26.42%,39.31%,51.06%,"기타 성기사
Mirror matchup",40.34%,43.56%
언데드 사제,53.97%,35.89%,39.65%,45.75%,50.14%,43.27%,46.66%,62.75%,39.37%,51.35%,67.77%,59.65%,"언데드 사제
Mirror matchup",47.45%
어그로 악마사냥꾼,49.60%,39.06%,49.73%,50.71%,54.85%,53.38%,45.98%,53.00%,40.23%,52.71%,58.57%,56.43%,52.54%,"어그로 악마사냥꾼
Mirror matchup"
