Hero,Deck,Winrate,Popular,Games
죽음의 기사,Plague Death Knight,58.2%,4.7%,"11,000"
죽음의 기사,부정 죽음의 기사,38.5%,4.7%,"10,000"
죽음의 기사,혈기 죽음의 기사,35.8%,1.9%,"4,500"
죽음의 기사,냉기 죽음의 기사,46.0%,0.8%,"1,900"
죽음의 기사,Rainbow Death Knight,49.9%,0.4%,900
죽음의 기사,Highlander Blood Death Knight,60.1%,0.2%,540
죽음의 기사,기타,49.0%,1.4%,"3,300"
악마사냥꾼,어그로 악마사냥꾼,61.1%,3.4%,"7,900"
악마사냥꾼,빅 악마사냥꾼,31.9%,0.3%,650
악마사냥꾼,하이랜더 악마사냥꾼,51.6%,0.08%,180
악마사냥꾼,유물 악마사냥꾼,51.8%,0.08%,190
악마사냥꾼,기타,16.0%,0.6%,"1,400"
드루이드,용 드루이드,65.1%,5.4%,"12,000"
드루이드,하이랜더 드루이드,62.7%,4.0%,"9,300"
드루이드,나무정령 드루이드,62.7%,1.2%,"2,700"
드루이드,기타,35.1%,1.5%,"3,400"
사냥꾼,사냥개 사냥꾼,63.2%,2.9%,"6,800"
사냥꾼,비전 사냥꾼,60.6%,1.1%,"2,400"
사냥꾼,하이랜더 사냥꾼,65.1%,0.4%,"1,000"
사냥꾼,기타,47.4%,1.4%,"3,400"
마법사,Rainbow Mage,59.6%,2.7%,"6,200"
마법사,Mining Mage,50.1%,2.0%,"4,700"
마법사,비밀 마법사,67.6%,1.1%,"2,400"
마법사,Spooky Mage,50.1%,0.8%,"1,800"
마법사,정령 마법사,44.3%,0.3%,600
마법사,하이랜더 마법사,46.3%,0.2%,350
마법사,기타,15.0%,4.7%,"11,000"
성기사,어그로 성기사,70.8%,6.9%,"16,000"
성기사,Showdown Paladin,70.4%,3.4%,"7,900"
성기사,하이랜더 성기사,67.0%,1.7%,"4,000"
성기사,신병 성기사,56.9%,0.6%,"1,300"
성기사,기타,43.3%,3.1%,"7,300"
사제,컨트롤 사제,51.3%,3.2%,"7,400"
사제,언데드 사제,57.9%,1.7%,"3,900"
사제,하이랜더 사제,53.6%,0.6%,"1,500"
사제,Automaton Priest,42.2%,0.2%,390
사제,기타,27.2%,0.8%,"1,900"
도적,Wishing Rogue,49.6%,1.3%,"3,000"
도적,Mining Rogue,47.2%,1.2%,"2,700"
도적,Ogre Rogue,53.7%,0.7%,"1,700"
도적,Mech Rogue,57.7%,0.6%,"1,400"
도적,미라클 도적,54.2%,0.4%,950
도적,비밀 도적,46.0%,0.2%,410
도적,Big Rogue,55.1%,0.2%,390
도적,기타,34.4%,1.5%,"3,500"
주술사,하이랜더 주술사,65.4%,1.7%,"3,900"
주술사,토템 주술사,59.3%,0.5%,"1,100"
주술사,자연 주술사,39.5%,0.4%,830
주술사,정령 주술사,48.2%,0.3%,650
주술사,기타,31.6%,0.9%,"2,100"
흑마법사,Mining Warlock,59.0%,3.7%,"8,700"
흑마법사,타디우스 흑마법사,52.9%,1.4%,"3,300"
흑마법사,Sludge Warlock,47.2%,0.6%,"1,400"
흑마법사,저주 흑마법사,51.7%,0.5%,"1,100"
흑마법사,하이랜더 흑마법사,44.1%,0.3%,610
흑마법사,기타,33.4%,2.7%,"6,200"
전사,컨트롤 전사,57.2%,6.3%,"14,000"
전사,격노 전사,62.7%,0.8%,"1,900"
전사,하이랜더 전사,45.8%,0.3%,780
전사,도발 전사,42.2%,0.3%,670
전사,Rock 'n' Roll Warrior,44.7%,0.2%,340
전사,기타,42.1%,2.5%,"5,800"
