Hero,Deck,Winrate,Popular,Games
죽음의 기사,Plague Death Knight,55.3%,7.5%,"81,000"
죽음의 기사,부정 죽음의 기사,40.1%,3.4%,"36,000"
죽음의 기사,혈기 죽음의 기사,42.2%,2.5%,"26,000"
죽음의 기사,냉기 죽음의 기사,48.2%,1.0%,"11,000"
죽음의 기사,Rainbow Death Knight,46.9%,0.6%,"6,300"
죽음의 기사,Highlander Blood Death Knight,55.5%,0.4%,"4,300"
죽음의 기사,기타,45.8%,1.3%,"13,000"
악마사냥꾼,어그로 악마사냥꾼,54.4%,2.2%,"23,000"
악마사냥꾼,빅 악마사냥꾼,35.8%,0.3%,"3,000"
악마사냥꾼,하이랜더 악마사냥꾼,43.7%,0.2%,"2,100"
악마사냥꾼,유물 악마사냥꾼,39.3%,0.2%,"1,700"
악마사냥꾼,기타,27.1%,0.3%,"3,200"
드루이드,용 드루이드,60.2%,7.3%,"79,000"
드루이드,하이랜더 드루이드,56.8%,3.6%,"39,000"
드루이드,나무정령 드루이드,58.1%,1.2%,"13,000"
드루이드,기타,39.6%,1.1%,"11,000"
사냥꾼,사냥개 사냥꾼,59.2%,3.4%,"37,000"
사냥꾼,비전 사냥꾼,58.0%,1.4%,"14,000"
사냥꾼,하이랜더 사냥꾼,57.9%,0.9%,"10,000"
사냥꾼,기타,46.0%,1.4%,"15,000"
마법사,Rainbow Mage,55.1%,2.7%,"29,000"
마법사,Mining Mage,50.4%,2.2%,"23,000"
마법사,비밀 마법사,59.4%,1.9%,"21,000"
마법사,Spooky Mage,47.7%,1.0%,"11,000"
마법사,정령 마법사,47.9%,0.5%,"5,700"
마법사,기계 마법사,52.4%,0.2%,"2,300"
마법사,하이랜더 마법사,40.3%,0.2%,"2,200"
마법사,Lightshow Mage,42.0%,0.2%,"2,100"
마법사,기타,31.8%,1.3%,"14,000"
성기사,어그로 성기사,66.4%,6.0%,"65,000"
성기사,Showdown Paladin,65.1%,3.0%,"32,000"
성기사,하이랜더 성기사,59.1%,1.9%,"20,000"
성기사,신병 성기사,52.7%,0.8%,"8,600"
성기사,Earthen Paladin,53.4%,0.2%,"2,000"
성기사,기타,48.5%,2.2%,"24,000"
사제,언데드 사제,56.1%,2.2%,"24,000"
사제,컨트롤 사제,47.1%,2.1%,"22,000"
사제,하이랜더 사제,48.8%,0.8%,"8,200"
사제,Automaton Priest,48.7%,0.5%,"5,400"
사제,Ogre Priest,47.9%,0.2%,"2,100"
사제,기타,35.9%,0.7%,"7,000"
도적,Mining Rogue,43.5%,1.4%,"14,000"
도적,Mech Rogue,57.1%,1.1%,"11,000"
도적,Wishing Rogue,43.2%,1.0%,"10,000"
도적,Ogre Rogue,49.6%,0.9%,"9,700"
도적,Big Rogue,57.6%,0.4%,"3,700"
도적,미라클 도적,45.5%,0.3%,"3,400"
도적,비밀 도적,43.6%,0.2%,"2,200"
도적,기타,35.4%,1.0%,"11,000"
주술사,하이랜더 주술사,59.0%,2.0%,"21,000"
주술사,토템 주술사,57.5%,1.0%,"10,000"
주술사,정령 주술사,52.2%,0.9%,"9,700"
주술사,자연 주술사,42.9%,0.3%,"3,000"
주술사,기타,36.3%,0.9%,"9,200"
흑마법사,Mining Warlock,56.0%,4.2%,"45,000"
흑마법사,타디우스 흑마법사,52.5%,1.0%,"11,000"
흑마법사,저주 흑마법사,49.4%,1.0%,"10,000"
흑마법사,Sludge Warlock,43.7%,0.7%,"7,400"
흑마법사,하이랜더 흑마법사,48.0%,0.3%,"3,300"
흑마법사,기타,44.7%,1.4%,"14,000"
전사,컨트롤 전사,53.5%,5.2%,"56,000"
전사,격노 전사,58.3%,1.2%,"13,000"
전사,도발 전사,45.8%,0.6%,"6,300"
전사,하이랜더 전사,46.3%,0.4%,"4,600"
전사,Rock 'n' Roll Warrior,48.0%,0.4%,"4,200"
전사,기타,35.3%,1.3%,"14,000"
