Hero,Deck,Winrate,Popular,Games
죽음의 기사,Plague Death Knight,56.7%,6.3%,"33,000"
죽음의 기사,부정 죽음의 기사,39.5%,4.2%,"22,000"
죽음의 기사,혈기 죽음의 기사,40.5%,2.0%,"10,000"
죽음의 기사,냉기 죽음의 기사,48.5%,1.1%,"5,800"
죽음의 기사,Rainbow Death Knight,50.0%,0.9%,"4,600"
죽음의 기사,Highlander Blood Death Knight,54.4%,0.3%,"1,600"
죽음의 기사,기타,45.7%,1.4%,"7,400"
악마사냥꾼,어그로 악마사냥꾼,55.8%,2.7%,"14,000"
악마사냥꾼,하이랜더 악마사냥꾼,41.7%,0.3%,"1,700"
악마사냥꾼,빅 악마사냥꾼,39.7%,0.3%,"1,500"
악마사냥꾼,유물 악마사냥꾼,36.7%,0.3%,"1,500"
악마사냥꾼,기타,25.2%,0.5%,"2,500"
드루이드,용 드루이드,61.5%,6.2%,"32,000"
드루이드,하이랜더 드루이드,58.1%,4.0%,"21,000"
드루이드,나무정령 드루이드,60.4%,1.3%,"7,000"
드루이드,기타,36.3%,1.4%,"7,200"
사냥꾼,사냥개 사냥꾼,60.5%,3.1%,"16,000"
사냥꾼,비전 사냥꾼,58.1%,1.2%,"6,600"
사냥꾼,하이랜더 사냥꾼,59.0%,0.8%,"4,400"
사냥꾼,기타,45.2%,1.5%,"7,900"
마법사,Rainbow Mage,57.4%,2.1%,"11,000"
마법사,Mining Mage,52.2%,1.9%,"10,000"
마법사,비밀 마법사,61.6%,1.8%,"9,500"
마법사,Spooky Mage,46.8%,1.0%,"5,100"
마법사,정령 마법사,47.4%,0.6%,"2,900"
마법사,하이랜더 마법사,39.6%,0.2%,930
마법사,Lightshow Mage,42.3%,0.2%,970
마법사,기계 마법사,52.2%,0.2%,870
마법사,기타,31.0%,1.5%,"7,800"
성기사,어그로 성기사,68.2%,5.8%,"30,000"
성기사,Showdown Paladin,65.9%,2.3%,"12,000"
성기사,하이랜더 성기사,61.2%,2.0%,"10,000"
성기사,신병 성기사,55.4%,0.8%,"4,200"
성기사,Earthen Paladin,51.8%,0.2%,"1,000"
성기사,기타,44.0%,2.6%,"13,000"
사제,언데드 사제,56.5%,2.2%,"11,000"
사제,컨트롤 사제,48.2%,2.2%,"11,000"
사제,하이랜더 사제,50.8%,0.8%,"4,400"
사제,Automaton Priest,49.0%,0.6%,"3,000"
사제,Ogre Priest,46.5%,0.2%,970
사제,기타,34.8%,0.9%,"4,700"
도적,Mining Rogue,44.6%,1.6%,"8,700"
도적,Wishing Rogue,44.1%,1.1%,"5,900"
도적,Ogre Rogue,53.7%,1.0%,"5,400"
도적,Mech Rogue,57.9%,1.0%,"5,000"
도적,Big Rogue,58.3%,0.4%,"2,200"
도적,미라클 도적,48.1%,0.3%,"1,800"
도적,비밀 도적,44.4%,0.2%,"1,100"
도적,기타,34.8%,1.4%,"7,400"
주술사,하이랜더 주술사,60.8%,2.0%,"10,000"
주술사,정령 주술사,55.2%,0.9%,"4,800"
주술사,토템 주술사,58.3%,0.9%,"4,700"
주술사,자연 주술사,42.6%,0.3%,"1,600"
주술사,기타,37.1%,1.1%,"5,800"
흑마법사,Mining Warlock,58.3%,3.7%,"19,000"
흑마법사,타디우스 흑마법사,54.6%,1.0%,"5,100"
흑마법사,저주 흑마법사,49.4%,0.9%,"4,600"
흑마법사,Sludge Warlock,43.4%,0.8%,"4,300"
흑마법사,하이랜더 흑마법사,49.7%,0.3%,"1,700"
흑마법사,기타,42.7%,1.6%,"8,600"
전사,컨트롤 전사,54.2%,5.0%,"26,000"
전사,격노 전사,60.5%,1.2%,"6,100"
전사,도발 전사,45.4%,0.7%,"3,800"
전사,Rock 'n' Roll Warrior,51.8%,0.4%,"2,200"
전사,하이랜더 전사,41.4%,0.3%,"1,800"
전사,기타,29.0%,1.9%,"10,000"
