Hero,Deck,Winrate,Popular,Games
죽음의 기사,Plague Death Knight,55.9%,6.8%,"120,000"
죽음의 기사,부정 죽음의 기사,39.6%,3.8%,"68,000"
죽음의 기사,혈기 죽음의 기사,40.9%,2.2%,"40,000"
죽음의 기사,냉기 죽음의 기사,48.1%,1.0%,"18,000"
죽음의 기사,Rainbow Death Knight,48.3%,0.6%,"11,000"
죽음의 기사,Highlander Blood Death Knight,55.7%,0.4%,"6,300"
죽음의 기사,기타,46.3%,1.3%,"24,000"
악마사냥꾼,어그로 악마사냥꾼,56.0%,2.5%,"45,000"
악마사냥꾼,빅 악마사냥꾼,36.5%,0.3%,"5,100"
악마사냥꾼,하이랜더 악마사냥꾼,43.0%,0.2%,"4,000"
악마사냥꾼,유물 악마사냥꾼,38.8%,0.2%,"3,400"
악마사냥꾼,기타,24.3%,0.4%,"7,100"
드루이드,용 드루이드,61.0%,6.8%,"120,000"
드루이드,하이랜더 드루이드,58.0%,3.8%,"68,000"
드루이드,나무정령 드루이드,59.4%,1.3%,"22,000"
드루이드,기타,37.8%,1.2%,"21,000"
사냥꾼,사냥개 사냥꾼,60.0%,3.3%,"59,000"
사냥꾼,비전 사냥꾼,58.4%,1.3%,"23,000"
사냥꾼,하이랜더 사냥꾼,58.7%,0.8%,"15,000"
사냥꾼,기타,46.0%,1.4%,"26,000"
마법사,Rainbow Mage,56.3%,2.5%,"45,000"
마법사,Mining Mage,50.8%,2.1%,"37,000"
마법사,비밀 마법사,60.6%,1.8%,"32,000"
마법사,Spooky Mage,47.6%,1.0%,"17,000"
마법사,정령 마법사,47.7%,0.5%,"9,000"
마법사,하이랜더 마법사,40.8%,0.2%,"3,500"
마법사,Lightshow Mage,41.8%,0.2%,"3,300"
마법사,기계 마법사,52.3%,0.2%,"3,300"
마법사,기타,25.9%,1.8%,"32,000"
성기사,어그로 성기사,67.6%,6.1%,"110,000"
성기사,Showdown Paladin,66.1%,2.8%,"51,000"
성기사,하이랜더 성기사,60.7%,1.9%,"34,000"
성기사,신병 성기사,53.9%,0.8%,"13,000"
성기사,Earthen Paladin,53.6%,0.2%,"3,200"
성기사,기타,46.3%,2.5%,"44,000"
사제,컨트롤 사제,48.2%,2.3%,"40,000"
사제,언데드 사제,56.3%,2.2%,"39,000"
사제,하이랜더 사제,49.9%,0.8%,"14,000"
사제,Automaton Priest,48.5%,0.5%,"8,600"
사제,Ogre Priest,47.6%,0.2%,"3,100"
사제,기타,34.3%,0.8%,"13,000"
도적,Mining Rogue,44.2%,1.4%,"25,000"
도적,Wishing Rogue,44.5%,1.1%,"19,000"
도적,Mech Rogue,57.4%,1.0%,"17,000"
도적,Ogre Rogue,51.3%,0.9%,"16,000"
도적,Big Rogue,57.6%,0.4%,"6,200"
도적,미라클 도적,47.5%,0.3%,"6,100"
도적,비밀 도적,44.2%,0.2%,"3,800"
도적,기타,35.1%,1.2%,"21,000"
주술사,하이랜더 주술사,60.3%,1.9%,"35,000"
주술사,토템 주술사,57.8%,0.9%,"16,000"
주술사,정령 주술사,52.9%,0.8%,"14,000"
주술사,자연 주술사,42.1%,0.3%,"5,400"
주술사,기타,36.0%,0.9%,"16,000"
흑마법사,Mining Warlock,57.0%,4.0%,"72,000"
흑마법사,타디우스 흑마법사,53.1%,1.1%,"19,000"
흑마법사,저주 흑마법사,49.7%,0.9%,"16,000"
흑마법사,Sludge Warlock,44.0%,0.7%,"13,000"
흑마법사,하이랜더 흑마법사,48.1%,0.3%,"5,600"
흑마법사,기타,41.7%,1.6%,"29,000"
전사,컨트롤 전사,54.2%,5.3%,"95,000"
전사,격노 전사,59.4%,1.2%,"20,000"
전사,도발 전사,45.5%,0.6%,"10,000"
전사,하이랜더 전사,45.1%,0.4%,"7,000"
전사,Rock 'n' Roll Warrior,49.0%,0.4%,"6,600"
전사,기타,34.5%,1.6%,"29,000"
