,Plague Death Knight,어그로 성기사,컨트롤 전사,용 드루이드,부정 죽음의 기사,Showdown Paladin,사냥개 사냥꾼,Rainbow Mage,혈기 죽음의 기사,Mining Warlock,하이랜더 주술사,,어그로 악마사냥꾼,하이랜더 드루이드,,,,,,,,,,
Plague Death Knight,"Plague Death Knight
Mirror matchup",41.01%,55.08%,45.10%,62.32%,39.94%,39.00%,44.78%,59.55%,50.92%,59.30%,64.31%,48.67%,62.66%,,,,,,,,,,
어그로 성기사,58.98%,"어그로 성기사
Mirror matchup",67.92%,70.54%,66.66%,44.19%,64.36%,61.53%,73.10%,57.79%,55.50%,71.42%,43.33%,72.38%,,,,,,,,,,
컨트롤 전사,44.91%,32.07%,"컨트롤 전사
Mirror matchup",44.36%,65.21%,43.77%,48.57%,47.08%,65.48%,33.67%,51.48%,63.39%,50.52%,37.22%,,,,,,,,,,
용 드루이드,54.89%,29.45%,55.63%,"용 드루이드
Mirror matchup",76.62%,32.00%,47.32%,61.47%,69.56%,57.20%,47.64%,63.38%,64.94%,49.39%,,,,,,,,,,
부정 죽음의 기사,37.67%,33.33%,34.78%,23.37%,"부정 죽음의 기사
Mirror matchup",23.12%,33.20%,37.11%,38.49%,31.46%,19.24%,54.89%,42.78%,33.04%,,,,,,,,,,
Showdown Paladin,60.05%,55.80%,56.22%,68.00%,76.87%,"Showdown Paladin
Mirror matchup",66.21%,56.96%,67.85%,64.13%,51.61%,80.91%,51.40%,66.66%,,,,,,,,,,
사냥개 사냥꾼,60.99%,35.63%,51.42%,52.67%,66.79%,33.78%,"사냥개 사냥꾼
Mirror matchup",49.29%,66.16%,53.71%,48.03%,68.46%,51.51%,48.38%,,,,,,,,,,
Rainbow Mage,55.21%,38.46%,52.91%,38.52%,62.88%,43.03%,50.70%,"Rainbow Mage
Mirror matchup",62.12%,45.79%,39.13%,66.38%,42.69%,42.00%,,,,,,,,,,
혈기 죽음의 기사,40.44%,26.89%,34.51%,30.43%,61.50%,32.14%,33.83%,37.87%,"혈기 죽음의 기사
Mirror matchup",40.17%,31.73%,51.57%,35.51%,27.08%,,,,,,,,,,
Mining Warlock,49.07%,42.20%,66.32%,42.79%,68.53%,35.86%,46.28%,54.20%,59.82%,"Mining Warlock
Mirror matchup",43.15%,64.07%,42.46%,42.85%,,,,,,,,,,
하이랜더 주술사,40.69%,44.49%,48.51%,52.35%,80.75%,48.38%,51.96%,60.86%,68.26%,56.84%,"하이랜더 주술사
Mirror matchup",77.22%,58.42%,67.02%,,,,,,,,,,
,35.68%,28.57%,36.60%,36.61%,45.10%,19.08%,31.53%,33.61%,48.42%,35.92%,22.77%,"기타 성기사
Mirror matchup",32.25%,37.07%,,,,,,,,,,
어그로 악마사냥꾼,51.32%,56.66%,49.47%,35.05%,57.21%,48.59%,48.48%,57.30%,64.48%,57.53%,41.57%,67.74%,"어그로 악마사냥꾼
Mirror matchup",53.84%,,,,,,,,,,
하이랜더 드루이드,37.33%,27.61%,62.77%,50.60%,66.95%,33.33%,51.61%,58.00%,72.91%,57.14%,32.97%,62.92%,46.15%,"하이랜더 드루이드
Mirror matchup",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
