,Plague Death Knight,컨트롤 전사,어그로 성기사,용 드루이드,부정 죽음의 기사,혈기 죽음의 기사,Showdown Paladin,Rainbow Mage,Mining Mage,Mining Warlock,사냥개 사냥꾼,하이랜더 드루이드,하이랜더 주술사,Unnamed: 14
Plague Death Knight,"Plague Death Knight
Mirror matchup",55.32%,39.50%,43.67%,64.53%,58.24%,43.25%,47.66%,49.06%,51.06%,43.01%,52.87%,57.86%,70.05%
컨트롤 전사,44.67%,"컨트롤 전사
Mirror matchup",36.73%,46.03%,66.04%,64.30%,41.43%,51.45%,47.18%,38.59%,44.89%,39.77%,47.20%,62.09%
어그로 성기사,60.49%,63.26%,"어그로 성기사
Mirror matchup",65.98%,62.31%,65.41%,39.18%,50.56%,57.74%,56.95%,69.64%,70.17%,56.03%,72.69%
용 드루이드,56.32%,53.96%,34.01%,"용 드루이드
Mirror matchup",77.77%,62.23%,32.73%,51.65%,64.40%,62.77%,58.06%,50.32%,45.25%,65.28%
부정 죽음의 기사,35.46%,33.95%,37.68%,22.22%,"부정 죽음의 기사
Mirror matchup",38.43%,29.71%,29.96%,38.87%,36.36%,25.26%,32.70%,20.86%,53.62%
혈기 죽음의 기사,41.75%,35.69%,34.58%,37.76%,61.56%,"혈기 죽음의 기사
Mirror matchup",40.94%,43.58%,37.07%,42.47%,36.27%,36.42%,34.78%,54.54%
Showdown Paladin,56.74%,58.56%,60.81%,67.26%,70.28%,59.05%,"Showdown Paladin
Mirror matchup",52.12%,60.46%,56.57%,58.44%,73.41%,44.11%,83.11%
Rainbow Mage,52.33%,48.54%,49.43%,48.34%,70.03%,56.41%,47.87%,"Rainbow Mage
Mirror matchup",56.56%,49.16%,44.17%,45.62%,48.61%,65.83%
Mining Mage,50.93%,52.81%,42.25%,35.59%,61.12%,62.92%,39.53%,43.43%,"Mining Mage
Mirror matchup",50.28%,35.16%,31.61%,41.50%,60.94%
Mining Warlock,48.93%,61.40%,43.04%,37.22%,63.63%,57.52%,43.42%,50.83%,49.71%,"Mining Warlock
Mirror matchup",44.37%,40.41%,47.51%,63.49%
사냥개 사냥꾼,56.98%,55.10%,30.35%,41.93%,74.73%,63.72%,41.55%,55.82%,64.83%,55.62%,"사냥개 사냥꾼
Mirror matchup",55.46%,53.60%,64.17%
하이랜더 드루이드,47.12%,60.22%,29.82%,49.67%,67.29%,63.57%,26.58%,54.37%,68.38%,59.58%,44.53%,"하이랜더 드루이드
Mirror matchup",34.00%,65.75%
하이랜더 주술사,42.13%,52.79%,43.96%,54.74%,79.13%,65.21%,55.88%,51.38%,58.49%,52.48%,46.40%,66.00%,"하이랜더 주술사
Mirror matchup",71.27%
,29.94%,37.90%,27.30%,34.71%,46.37%,45.45%,16.88%,34.16%,39.05%,36.50%,35.82%,34.24%,28.72%,"기타 성기사
Mirror matchup"
