Hero,Deck,Winrate,Popular,Games
죽음의 기사,Plague Death Knight,56.8%,7.0%,"15,000"
죽음의 기사,부정 죽음의 기사,39.9%,4.3%,"9,500"
죽음의 기사,혈기 죽음의 기사,40.2%,2.2%,"4,800"
죽음의 기사,냉기 죽음의 기사,47.0%,1.0%,"2,100"
죽음의 기사,Rainbow Death Knight,47.3%,0.5%,"1,100"
죽음의 기사,Highlander Blood Death Knight,53.1%,0.4%,780
죽음의 기사,기타,45.9%,1.4%,"3,100"
악마사냥꾼,어그로 악마사냥꾼,56.1%,2.7%,"5,900"
악마사냥꾼,빅 악마사냥꾼,30.5%,0.4%,920
악마사냥꾼,하이랜더 악마사냥꾼,48.9%,0.2%,470
악마사냥꾼,유물 악마사냥꾼,44.4%,0.2%,430
악마사냥꾼,기타,26.4%,0.5%,"1,100"
드루이드,용 드루이드,61.0%,5.8%,"12,000"
드루이드,하이랜더 드루이드,58.6%,3.2%,"7,000"
드루이드,나무정령 드루이드,57.7%,1.1%,"2,400"
드루이드,기타,35.8%,1.2%,"2,600"
사냥꾼,사냥개 사냥꾼,58.3%,3.1%,"6,800"
사냥꾼,비전 사냥꾼,57.9%,1.3%,"2,800"
사냥꾼,하이랜더 사냥꾼,57.9%,0.8%,"1,800"
사냥꾼,기타,44.8%,1.5%,"3,200"
마법사,Rainbow Mage,55.5%,2.4%,"5,200"
마법사,Mining Mage,52.4%,2.4%,"5,200"
마법사,비밀 마법사,61.5%,1.7%,"3,600"
마법사,Spooky Mage,47.8%,1.0%,"2,200"
마법사,정령 마법사,47.5%,0.4%,870
마법사,Lightshow Mage,44.3%,0.2%,410
마법사,기계 마법사,50.7%,0.2%,370
마법사,하이랜더 마법사,42.8%,0.2%,360
마법사,기타,25.9%,1.9%,"4,000"
성기사,어그로 성기사,68.1%,6.0%,"13,000"
성기사,Showdown Paladin,66.8%,3.9%,"8,600"
성기사,하이랜더 성기사,61.0%,1.7%,"3,700"
성기사,신병 성기사,53.8%,0.7%,"1,600"
성기사,Earthen Paladin,54.1%,0.2%,390
성기사,기타,47.0%,2.4%,"5,300"
사제,컨트롤 사제,49.2%,2.3%,"5,000"
사제,언데드 사제,57.9%,2.2%,"4,700"
사제,하이랜더 사제,51.6%,0.6%,"1,300"
사제,Automaton Priest,47.6%,0.4%,980
사제,Ogre Priest,47.5%,0.1%,280
사제,기타,32.4%,0.9%,"1,900"
도적,Mining Rogue,44.8%,1.4%,"3,000"
도적,Wishing Rogue,46.4%,1.0%,"2,200"
도적,Mech Rogue,57.8%,1.0%,"2,200"
도적,Ogre Rogue,51.1%,1.0%,"2,100"
도적,Big Rogue,60.7%,0.4%,880
도적,미라클 도적,47.9%,0.3%,650
도적,비밀 도적,48.1%,0.2%,490
도적,기타,34.6%,1.3%,"2,800"
주술사,하이랜더 주술사,61.1%,2.1%,"4,500"
주술사,토템 주술사,58.8%,0.8%,"1,800"
주술사,정령 주술사,52.6%,0.6%,"1,300"
주술사,자연 주술사,42.7%,0.3%,680
주술사,기타,36.4%,0.9%,"1,900"
흑마법사,Mining Warlock,57.2%,3.2%,"6,900"
흑마법사,타디우스 흑마법사,52.9%,1.1%,"2,300"
흑마법사,저주 흑마법사,48.7%,0.9%,"1,800"
흑마법사,Sludge Warlock,45.2%,0.7%,"1,600"
흑마법사,하이랜더 흑마법사,49.1%,0.3%,700
흑마법사,기타,40.6%,1.6%,"3,400"
전사,컨트롤 전사,53.6%,5.7%,"12,000"
전사,격노 전사,60.6%,1.3%,"2,800"
전사,도발 전사,45.3%,0.6%,"1,300"
전사,하이랜더 전사,47.2%,0.5%,"1,000"
전사,Rock 'n' Roll Warrior,48.2%,0.4%,810
전사,기타,37.7%,1.7%,"3,700"
