Hero,Deck,Winrate,Popular,Games
죽음의 기사,Plague Death Knight,55.5%,6.9%,"80,000"
죽음의 기사,부정 죽음의 기사,39.5%,3.5%,"40,000"
죽음의 기사,혈기 죽음의 기사,38.6%,2.0%,"22,000"
죽음의 기사,냉기 죽음의 기사,47.5%,1.0%,"11,000"
죽음의 기사,Rainbow Death Knight,48.1%,0.7%,"7,900"
죽음의 기사,Highlander Blood Death Knight,53.5%,0.3%,"3,500"
죽음의 기사,기타,46.3%,1.3%,"14,000"
악마사냥꾼,어그로 악마사냥꾼,55.0%,2.5%,"28,000"
악마사냥꾼,빅 악마사냥꾼,36.4%,0.3%,"3,000"
악마사냥꾼,하이랜더 악마사냥꾼,42.1%,0.3%,"2,900"
악마사냥꾼,유물 악마사냥꾼,41.7%,0.2%,"2,300"
악마사냥꾼,기타,25.8%,0.4%,"4,200"
드루이드,용 드루이드,60.9%,7.4%,"87,000"
드루이드,하이랜더 드루이드,58.0%,4.4%,"51,000"
드루이드,나무정령 드루이드,59.3%,1.4%,"16,000"
드루이드,기타,38.6%,1.3%,"14,000"
사냥꾼,사냥개 사냥꾼,59.9%,3.4%,"39,000"
사냥꾼,비전 사냥꾼,58.4%,1.3%,"15,000"
사냥꾼,하이랜더 사냥꾼,58.0%,0.8%,"9,200"
사냥꾼,기타,46.6%,1.4%,"16,000"
마법사,Rainbow Mage,55.5%,2.3%,"26,000"
마법사,Mining Mage,49.4%,1.9%,"22,000"
마법사,비밀 마법사,60.1%,1.8%,"21,000"
마법사,Spooky Mage,46.8%,1.0%,"11,000"
마법사,정령 마법사,46.7%,0.4%,"4,600"
마법사,하이랜더 마법사,41.9%,0.2%,"2,500"
마법사,Lightshow Mage,42.7%,0.2%,"2,100"
마법사,기계 마법사,51.5%,0.2%,"2,100"
마법사,기타,25.5%,1.7%,"20,000"
성기사,어그로 성기사,67.6%,6.0%,"70,000"
성기사,Showdown Paladin,66.1%,2.3%,"27,000"
성기사,하이랜더 성기사,60.4%,2.0%,"23,000"
성기사,신병 성기사,54.8%,0.8%,"9,100"
성기사,Earthen Paladin,53.8%,0.2%,"2,100"
성기사,기타,46.6%,2.4%,"28,000"
사제,컨트롤 사제,48.5%,2.3%,"26,000"
사제,언데드 사제,56.1%,2.2%,"25,000"
사제,하이랜더 사제,49.9%,0.9%,"9,900"
사제,Automaton Priest,48.4%,0.5%,"5,600"
사제,Ogre Priest,46.4%,0.2%,"2,100"
사제,기타,34.8%,0.7%,"8,100"
도적,Mining Rogue,44.1%,1.5%,"17,000"
도적,Wishing Rogue,44.6%,1.2%,"13,000"
도적,Ogre Rogue,51.3%,1.0%,"12,000"
도적,Mech Rogue,57.5%,1.0%,"11,000"
도적,Big Rogue,58.5%,0.4%,"4,300"
도적,미라클 도적,47.4%,0.4%,"4,200"
도적,비밀 도적,44.4%,0.2%,"2,400"
도적,기타,35.2%,1.1%,"12,000"
주술사,하이랜더 주술사,59.1%,1.7%,"19,000"
주술사,토템 주술사,56.9%,0.9%,"10,000"
주술사,정령 주술사,52.9%,0.9%,"10,000"
주술사,자연 주술사,41.7%,0.3%,"3,200"
주술사,기타,35.9%,0.8%,"9,700"
흑마법사,Mining Warlock,56.6%,4.7%,"54,000"
흑마법사,타디우스 흑마법사,53.2%,1.0%,"12,000"
흑마법사,저주 흑마법사,49.5%,0.9%,"10,000"
흑마법사,Sludge Warlock,43.6%,0.8%,"9,400"
흑마법사,하이랜더 흑마법사,47.3%,0.3%,"3,400"
흑마법사,기타,43.3%,1.6%,"19,000"
전사,컨트롤 전사,53.9%,5.0%,"58,000"
전사,격노 전사,58.7%,1.0%,"11,000"
전사,도발 전사,45.9%,0.6%,"6,400"
전사,하이랜더 전사,44.3%,0.4%,"4,200"
전사,Rock 'n' Roll Warrior,48.8%,0.3%,"3,900"
전사,기타,33.4%,1.5%,"17,000"
