Hero,Deck,Winrate,Popular,Games
죽음의 기사,Plague Death Knight,51.3%,8.2%,"220,000"
죽음의 기사,혈기 죽음의 기사,50.7%,2.6%,"70,000"
죽음의 기사,부정 죽음의 기사,30.2%,2.0%,"54,000"
죽음의 기사,Highlander Blood Death Knight,49.5%,0.8%,"21,000"
죽음의 기사,Rainbow Death Knight,42.7%,0.7%,"19,000"
죽음의 기사,냉기 죽음의 기사,43.3%,0.5%,"12,000"
죽음의 기사,기타,42.7%,0.5%,"13,000"
악마사냥꾼,어그로 악마사냥꾼,53.6%,5.3%,"140,000"
악마사냥꾼,하이랜더 악마사냥꾼,39.9%,0.2%,"5,800"
악마사냥꾼,유물 악마사냥꾼,37.0%,0.1%,"3,600"
악마사냥꾼,빅 악마사냥꾼,40.8%,0.08%,"2,200"
악마사냥꾼,기타,35.8%,0.1%,"3,500"
드루이드,용 드루이드,52.0%,6.9%,"180,000"
드루이드,하이랜더 드루이드,50.9%,4.8%,"130,000"
드루이드,나무정령 드루이드,52.7%,0.6%,"15,000"
드루이드,기타,35.1%,0.6%,"15,000"
사냥꾼,사냥개 사냥꾼,56.2%,4.9%,"130,000"
사냥꾼,하이랜더 사냥꾼,54.8%,1.1%,"30,000"
사냥꾼,비전 사냥꾼,54.4%,0.8%,"22,000"
사냥꾼,기타,45.0%,0.5%,"12,000"
마법사,Rainbow Mage,53.5%,4.3%,"110,000"
마법사,Mining Mage,48.8%,2.9%,"77,000"
마법사,비밀 마법사,50.8%,1.8%,"49,000"
마법사,Spooky Mage,46.8%,0.3%,"7,300"
마법사,하이랜더 마법사,43.3%,0.2%,"5,200"
마법사,정령 마법사,42.4%,0.2%,"4,600"
마법사,Lightshow Mage,36.0%,0.1%,"3,600"
마법사,기타,39.8%,0.4%,"10,000"
성기사,어그로 성기사,58.7%,8.1%,"220,000"
성기사,Showdown Paladin,57.5%,5.3%,"140,000"
성기사,하이랜더 성기사,53.9%,3.2%,"85,000"
성기사,신병 성기사,51.4%,0.4%,"11,000"
성기사,Earthen Paladin,49.4%,0.3%,"7,100"
성기사,기타,43.6%,0.9%,"23,000"
사제,컨트롤 사제,46.6%,3.4%,"91,000"
사제,언데드 사제,49.3%,1.0%,"26,000"
사제,하이랜더 사제,44.5%,0.8%,"21,000"
사제,Ogre Priest,43.1%,0.2%,"6,000"
사제,Automaton Priest,43.0%,0.2%,"5,600"
사제,기타,41.6%,0.4%,"9,900"
도적,Mining Rogue,37.2%,0.9%,"25,000"
도적,Wishing Rogue,40.9%,0.9%,"23,000"
도적,Ogre Rogue,44.0%,0.8%,"22,000"
도적,Mech Rogue,54.7%,0.8%,"20,000"
도적,Big Rogue,50.0%,0.4%,"10,000"
도적,미라클 도적,45.8%,0.4%,"9,700"
도적,비밀 도적,42.7%,0.1%,"3,100"
도적,기타,37.1%,0.5%,"12,000"
주술사,하이랜더 주술사,54.1%,4.2%,"110,000"
주술사,정령 주술사,44.9%,0.7%,"18,000"
주술사,토템 주술사,46.8%,0.5%,"13,000"
주술사,자연 주술사,46.8%,0.2%,"5,600"
주술사,기타,36.6%,0.3%,"7,500"
흑마법사,Mining Warlock,48.7%,4.1%,"110,000"
흑마법사,저주 흑마법사,45.8%,0.8%,"22,000"
흑마법사,Sludge Warlock,39.4%,0.6%,"16,000"
흑마법사,하이랜더 흑마법사,45.6%,0.6%,"15,000"
흑마법사,타디우스 흑마법사,50.0%,0.5%,"13,000"
흑마법사,기타,43.3%,0.7%,"18,000"
전사,컨트롤 전사,48.3%,3.8%,"100,000"
전사,격노 전사,56.5%,1.4%,"36,000"
전사,하이랜더 전사,46.1%,0.5%,"13,000"
전사,Rock 'n' Roll Warrior,43.8%,0.5%,"12,000"
전사,도발 전사,37.3%,0.3%,"8,400"
전사,기타,39.7%,0.3%,"8,300"
