Hero,Deck,Winrate,Popular,Games
죽음의 기사,Plague Death Knight,53.9%,7.5%,"77,000"
죽음의 기사,부정 죽음의 기사,37.2%,4.5%,"46,000"
죽음의 기사,혈기 죽음의 기사,47.4%,2.0%,"20,000"
죽음의 기사,냉기 죽음의 기사,46.3%,0.9%,"9,000"
죽음의 기사,Rainbow Death Knight,45.8%,0.7%,"7,600"
죽음의 기사,Highlander Blood Death Knight,53.7%,0.4%,"4,100"
죽음의 기사,기타,43.0%,1.1%,"11,000"
악마사냥꾼,어그로 악마사냥꾼,54.6%,2.6%,"26,000"
악마사냥꾼,하이랜더 악마사냥꾼,41.9%,0.3%,"2,600"
악마사냥꾼,유물 악마사냥꾼,37.8%,0.2%,"1,600"
악마사냥꾼,빅 악마사냥꾼,37.6%,0.2%,"1,700"
악마사냥꾼,기타,28.6%,0.3%,"2,600"
드루이드,용 드루이드,57.6%,7.2%,"73,000"
드루이드,하이랜더 드루이드,55.9%,4.3%,"43,000"
드루이드,나무정령 드루이드,55.5%,1.1%,"10,000"
드루이드,기타,38.7%,1.0%,"9,700"
사냥꾼,사냥개 사냥꾼,58.0%,3.4%,"34,000"
사냥꾼,비전 사냥꾼,57.0%,1.2%,"12,000"
사냥꾼,하이랜더 사냥꾼,57.4%,1.0%,"9,900"
사냥꾼,기타,44.5%,1.1%,"10,000"
마법사,Rainbow Mage,53.7%,2.6%,"26,000"
마법사,Mining Mage,49.8%,2.3%,"23,000"
마법사,비밀 마법사,57.8%,1.9%,"19,000"
마법사,Spooky Mage,45.4%,0.9%,"9,200"
마법사,정령 마법사,44.2%,0.5%,"4,700"
마법사,하이랜더 마법사,40.4%,0.2%,"2,100"
마법사,Lightshow Mage,40.9%,0.2%,"1,900"
마법사,기계 마법사,49.2%,0.2%,"1,500"
마법사,기타,23.9%,1.6%,"16,000"
성기사,어그로 성기사,64.9%,6.1%,"62,000"
성기사,Showdown Paladin,63.8%,2.9%,"29,000"
성기사,하이랜더 성기사,59.0%,2.1%,"21,000"
성기사,신병 성기사,52.6%,0.6%,"6,400"
성기사,Earthen Paladin,52.1%,0.2%,"2,000"
성기사,기타,46.8%,1.8%,"18,000"
사제,컨트롤 사제,46.3%,2.5%,"25,000"
사제,언데드 사제,52.7%,2.0%,"20,000"
사제,하이랜더 사제,47.8%,0.9%,"8,900"
사제,Automaton Priest,45.9%,0.5%,"4,900"
사제,Ogre Priest,45.3%,0.2%,"2,300"
사제,기타,38.0%,0.7%,"6,600"
도적,Mining Rogue,41.5%,1.5%,"14,000"
도적,Wishing Rogue,42.2%,1.1%,"11,000"
도적,Ogre Rogue,48.6%,1.0%,"9,700"
도적,Mech Rogue,56.0%,0.9%,"9,400"
도적,Big Rogue,56.0%,0.4%,"4,200"
도적,미라클 도적,45.3%,0.3%,"3,000"
도적,비밀 도적,40.9%,0.2%,"2,000"
도적,기타,35.2%,1.0%,"10,000"
주술사,하이랜더 주술사,58.6%,2.2%,"22,000"
주술사,정령 주술사,50.0%,1.0%,"9,800"
주술사,토템 주술사,54.5%,0.9%,"9,400"
주술사,자연 주술사,45.2%,0.2%,"2,000"
주술사,기타,35.5%,0.7%,"7,300"
흑마법사,Mining Warlock,54.5%,4.5%,"45,000"
흑마법사,저주 흑마법사,47.6%,1.1%,"10,000"
흑마법사,타디우스 흑마법사,52.4%,0.9%,"9,000"
흑마법사,Sludge Warlock,41.9%,0.7%,"7,500"
흑마법사,하이랜더 흑마법사,46.6%,0.4%,"3,800"
흑마법사,기타,41.3%,1.3%,"13,000"
전사,컨트롤 전사,51.8%,5.0%,"51,000"
전사,격노 전사,56.9%,1.1%,"11,000"
전사,도발 전사,44.5%,0.6%,"6,100"
전사,Rock 'n' Roll Warrior,48.1%,0.5%,"4,600"
전사,하이랜더 전사,45.9%,0.4%,"4,500"
전사,기타,36.3%,0.9%,"9,200"
