,부정 죽음의 기사,Rainbow Mage,용 드루이드,Plague Death Knight,어그로 성기사,컨트롤 전사,하이랜더 드루이드,하이랜더 주술사,Mining Mage,컨트롤 사제,혈기 죽음의 기사,Showdown Paladin,어그로 악마사냥꾼,하이랜더 성기사
부정 죽음의 기사,"부정 죽음의 기사
Mirror matchup",21.23%,16.51%,28.88%,32.19%,26.34%,30.00%,17.92%,28.71%,30.42%,28.51%,24.35%,40.62%,20.14%
Rainbow Mage,78.76%,"Rainbow Mage
Mirror matchup",44.40%,58.59%,50.24%,49.23%,47.68%,58.20%,62.34%,65.28%,57.24%,43.96%,52.68%,54.92%
용 드루이드,83.48%,55.59%,"용 드루이드
Mirror matchup",54.71%,35.35%,58.57%,50.00%,44.05%,64.33%,50.46%,69.86%,44.95%,65.06%,40.62%
Plague Death Knight,71.11%,41.40%,45.28%,"Plague Death Knight
Mirror matchup",40.90%,55.42%,60.60%,65.69%,44.69%,55.73%,64.53%,47.54%,47.05%,57.14%
어그로 성기사,67.80%,49.75%,64.64%,59.09%,"어그로 성기사
Mirror matchup",58.46%,64.91%,52.74%,48.64%,60.16%,68.38%,42.85%,47.42%,57.97%
컨트롤 전사,73.65%,50.76%,41.42%,44.57%,41.53%,"컨트롤 전사
Mirror matchup",38.61%,53.19%,54.23%,50.00%,53.33%,43.08%,45.36%,55.22%
하이랜더 드루이드,70.00%,52.31%,50.00%,39.39%,35.08%,61.38%,"하이랜더 드루이드
Mirror matchup",33.33%,57.97%,66.66%,61.33%,46.25%,38.09%,30.00%
하이랜더 주술사,82.07%,41.79%,55.94%,34.30%,47.25%,46.80%,66.66%,"하이랜더 주술사
Mirror matchup",50.00%,61.42%,64.06%,63.07%,48.64%,64.44%
Mining Mage,71.28%,37.65%,35.66%,55.30%,51.35%,45.76%,42.02%,50.00%,"Mining Mage
Mirror matchup",71.66%,69.69%,52.05%,39.68%,45.71%
컨트롤 사제,69.57%,34.71%,49.53%,44.26%,39.83%,49.05%,33.33%,38.57%,28.33%,"컨트롤 사제
Mirror matchup",66.15%,48.78%,36.17%,29.78%
혈기 죽음의 기사,71.48%,42.75%,30.13%,35.46%,31.61%,45.83%,38.66%,35.93%,30.30%,33.84%,"혈기 죽음의 기사
Mirror matchup",35.06%,44.64%,44.68%
Showdown Paladin,75.64%,56.03%,55.04%,52.45%,57.14%,56.91%,53.75%,36.92%,47.94%,51.21%,64.93%,"Showdown Paladin
Mirror matchup",56.36%,50.72%
어그로 악마사냥꾼,59.37%,47.31%,34.93%,52.94%,52.57%,54.63%,61.90%,51.35%,60.31%,63.82%,55.35%,43.63%,"어그로 악마사냥꾼
Mirror matchup","Not enough games
⁓"
하이랜더 성기사,79.85%,45.07%,59.37%,42.85%,42.02%,44.77%,70.00%,35.55%,54.28%,70.21%,55.31%,49.27%,"Not enough games
⁓","하이랜더 성기사
Mirror matchup"
