Hero,Deck,Winrate,Popular,Games
죽음의 기사,Plague Death Knight,57.1%,6.7%,"13,000"
죽음의 기사,부정 죽음의 기사,38.7%,4.1%,"8,400"
죽음의 기사,혈기 죽음의 기사,43.3%,2.5%,"5,100"
죽음의 기사,냉기 죽음의 기사,48.3%,1.0%,"1,900"
죽음의 기사,Rainbow Death Knight,48.5%,0.5%,"1,000"
죽음의 기사,Highlander Blood Death Knight,56.2%,0.4%,880
죽음의 기사,기타,45.6%,1.4%,"2,900"
악마사냥꾼,어그로 악마사냥꾼,57.3%,2.6%,"5,400"
악마사냥꾼,빅 악마사냥꾼,34.6%,0.4%,760
악마사냥꾼,하이랜더 악마사냥꾼,49.4%,0.2%,430
악마사냥꾼,유물 악마사냥꾼,30.9%,0.2%,350
악마사냥꾼,기타,23.8%,0.5%,990
드루이드,용 드루이드,61.5%,5.5%,"11,000"
드루이드,하이랜더 드루이드,58.7%,2.9%,"5,900"
드루이드,나무정령 드루이드,61.0%,1.1%,"2,200"
드루이드,기타,37.1%,1.2%,"2,300"
사냥꾼,사냥개 사냥꾼,60.8%,3.2%,"6,500"
사냥꾼,비전 사냥꾼,58.1%,1.2%,"2,500"
사냥꾼,하이랜더 사냥꾼,58.8%,0.9%,"1,700"
사냥꾼,기타,44.9%,1.6%,"3,200"
마법사,Rainbow Mage,58.0%,2.9%,"5,900"
마법사,Mining Mage,53.1%,2.4%,"4,800"
마법사,비밀 마법사,61.2%,1.7%,"3,300"
마법사,Spooky Mage,49.0%,1.0%,"1,900"
마법사,정령 마법사,49.8%,0.6%,"1,200"
마법사,기계 마법사,51.5%,0.2%,380
마법사,하이랜더 마법사,42.2%,0.2%,340
마법사,Lightshow Mage,39.2%,0.2%,320
마법사,기타,25.2%,2.0%,"4,000"
성기사,어그로 성기사,67.4%,6.1%,"12,000"
성기사,Showdown Paladin,66.3%,3.8%,"7,700"
성기사,하이랜더 성기사,61.0%,1.7%,"3,400"
성기사,신병 성기사,52.6%,0.8%,"1,500"
성기사,Earthen Paladin,56.7%,0.2%,320
성기사,기타,46.6%,2.4%,"4,800"
사제,컨트롤 사제,49.2%,2.3%,"4,800"
사제,언데드 사제,57.7%,2.1%,"4,200"
사제,하이랜더 사제,54.0%,0.7%,"1,300"
사제,Automaton Priest,50.0%,0.5%,"1,000"
사제,Ogre Priest,52.7%,0.1%,290
사제,기타,30.7%,1.0%,"2,000"
도적,Mining Rogue,44.4%,1.4%,"2,800"
도적,Mech Rogue,57.6%,1.0%,"1,900"
도적,Wishing Rogue,45.7%,0.9%,"1,800"
도적,Ogre Rogue,50.0%,0.8%,"1,600"
도적,Big Rogue,55.7%,0.3%,670
도적,미라클 도적,44.9%,0.3%,560
도적,비밀 도적,40.1%,0.2%,400
도적,기타,33.6%,1.3%,"2,600"
주술사,하이랜더 주술사,61.5%,2.2%,"4,500"
주술사,토템 주술사,58.5%,0.8%,"1,600"
주술사,정령 주술사,52.9%,0.8%,"1,600"
주술사,자연 주술사,37.3%,0.3%,620
주술사,기타,36.3%,1.1%,"2,300"
흑마법사,Mining Warlock,58.9%,2.7%,"5,500"
흑마법사,타디우스 흑마법사,53.0%,1.1%,"2,200"
흑마법사,저주 흑마법사,49.2%,0.8%,"1,600"
흑마법사,Sludge Warlock,45.1%,0.6%,"1,200"
흑마법사,하이랜더 흑마법사,49.9%,0.3%,690
흑마법사,기타,37.4%,1.6%,"3,300"
전사,컨트롤 전사,54.8%,5.7%,"11,000"
전사,격노 전사,60.6%,1.4%,"2,900"
전사,도발 전사,44.2%,0.7%,"1,400"
전사,하이랜더 전사,45.1%,0.4%,840
전사,Rock 'n' Roll Warrior,49.0%,0.4%,840
전사,기타,34.6%,2.0%,"3,900"
