Hero,Deck,Winrate,Popular,Games
죽음의 기사,Plague Death Knight,48.7%,4.9%,"5,300"
죽음의 기사,혈기 죽음의 기사,47.8%,1.0%,"1,000"
죽음의 기사,Highlander Blood Death Knight,41.1%,0.3%,350
죽음의 기사,냉기 죽음의 기사,42.4%,0.2%,170
죽음의 기사,Rainbow Death Knight,22.4%,0.1%,110
죽음의 기사,기타,35.2%,0.08%,91
악마사냥꾼,어그로 악마사냥꾼,52.7%,23.3%,"25,000"
드루이드,용 드루이드,48.6%,3.7%,"4,100"
드루이드,하이랜더 드루이드,46.6%,3.4%,"3,700"
드루이드,나무정령 드루이드,45.9%,0.2%,190
드루이드,기타,34.2%,0.3%,370
사냥꾼,사냥개 사냥꾼,47.6%,2.0%,"2,200"
사냥꾼,하이랜더 사냥꾼,48.3%,0.7%,720
사냥꾼,비전 사냥꾼,46.7%,0.4%,400
사냥꾼,기타,48.0%,0.09%,100
마법사,Rainbow Mage,51.1%,8.2%,"9,000"
마법사,Mining Mage,47.4%,4.7%,"5,100"
마법사,비밀 마법사,42.3%,0.4%,430
성기사,Showdown Paladin,52.5%,9.4%,"10,000"
성기사,어그로 성기사,50.9%,4.9%,"5,300"
성기사,하이랜더 성기사,50.0%,3.4%,"3,700"
성기사,기타,34.6%,0.3%,280
사제,컨트롤 사제,47.2%,2.5%,"2,700"
사제,하이랜더 사제,40.2%,0.2%,160
사제,언데드 사제,44.4%,0.1%,130
사제,Automaton Priest,44.9%,0.06%,69
사제,Ogre Priest,44.1%,0.06%,68
사제,기타,46.9%,0.2%,210
도적,미라클 도적,48.5%,1.5%,"1,600"
도적,Mech Rogue,52.1%,0.9%,940
도적,Wishing Rogue,41.9%,0.7%,730
도적,Ogre Rogue,41.8%,0.4%,390
도적,Big Rogue,42.6%,0.3%,280
도적,Mining Rogue,36.4%,0.2%,250
도적,비밀 도적,57.9%,0.07%,76
도적,기타,46.4%,0.4%,390
주술사,하이랜더 주술사,52.8%,9.1%,"10,000"
주술사,자연 주술사,47.9%,0.8%,910
주술사,기타,36.3%,0.2%,160
흑마법사,Mining Warlock,44.2%,0.5%,570
흑마법사,하이랜더 흑마법사,41.6%,0.3%,320
흑마법사,타디우스 흑마법사,48.6%,0.3%,280
흑마법사,Sludge Warlock,35.9%,0.2%,230
흑마법사,저주 흑마법사,47.7%,0.10%,110
흑마법사,기타,50.6%,0.6%,650
전사,격노 전사,53.9%,4.8%,"5,200"
전사,컨트롤 전사,50.5%,2.4%,"2,600"
전사,하이랜더 전사,43.3%,0.4%,380
전사,기타,38.1%,0.1%,120
