Hero,Deck,Winrate,Popular,Games
죽음의 기사,Plague Death Knight,51.3%,8.2%,"200,000"
죽음의 기사,혈기 죽음의 기사,50.5%,2.5%,"63,000"
죽음의 기사,부정 죽음의 기사,30.2%,2.0%,"50,000"
죽음의 기사,Highlander Blood Death Knight,49.5%,0.8%,"20,000"
죽음의 기사,Rainbow Death Knight,42.8%,0.7%,"18,000"
죽음의 기사,냉기 죽음의 기사,43.3%,0.5%,"12,000"
죽음의 기사,기타,42.7%,0.5%,"12,000"
악마사냥꾼,어그로 악마사냥꾼,53.5%,5.3%,"130,000"
악마사냥꾼,하이랜더 악마사냥꾼,40.1%,0.2%,"5,700"
악마사냥꾼,유물 악마사냥꾼,36.8%,0.1%,"3,500"
악마사냥꾼,빅 악마사냥꾼,41.0%,0.07%,"1,800"
악마사냥꾼,기타,35.9%,0.1%,"3,200"
드루이드,용 드루이드,52.0%,7.0%,"170,000"
드루이드,하이랜더 드루이드,50.9%,4.9%,"120,000"
드루이드,나무정령 드루이드,52.7%,0.6%,"14,000"
드루이드,기타,35.1%,0.6%,"15,000"
사냥꾼,사냥개 사냥꾼,56.2%,5.0%,"120,000"
사냥꾼,하이랜더 사냥꾼,54.7%,1.1%,"28,000"
사냥꾼,비전 사냥꾼,54.4%,0.8%,"21,000"
사냥꾼,기타,45.0%,0.5%,"11,000"
마법사,Rainbow Mage,53.5%,4.2%,"100,000"
마법사,Mining Mage,48.8%,2.8%,"71,000"
마법사,비밀 마법사,50.8%,1.8%,"46,000"
마법사,Spooky Mage,46.8%,0.3%,"6,800"
마법사,하이랜더 마법사,43.5%,0.2%,"5,000"
마법사,정령 마법사,42.3%,0.2%,"4,200"
마법사,Lightshow Mage,35.6%,0.1%,"3,300"
마법사,기타,39.9%,0.4%,"9,800"
성기사,어그로 성기사,58.7%,8.2%,"200,000"
성기사,Showdown Paladin,57.6%,5.2%,"130,000"
성기사,하이랜더 성기사,53.9%,3.2%,"82,000"
성기사,신병 성기사,51.6%,0.4%,"10,000"
성기사,Earthen Paladin,49.3%,0.3%,"6,700"
성기사,기타,43.6%,0.9%,"22,000"
사제,컨트롤 사제,46.7%,3.4%,"86,000"
사제,언데드 사제,49.3%,1.0%,"24,000"
사제,하이랜더 사제,44.5%,0.8%,"20,000"
사제,Ogre Priest,43.0%,0.2%,"5,700"
사제,Automaton Priest,43.0%,0.2%,"5,400"
사제,기타,41.5%,0.4%,"9,300"
도적,Mining Rogue,37.2%,0.9%,"24,000"
도적,Wishing Rogue,40.9%,0.9%,"22,000"
도적,Ogre Rogue,44.0%,0.9%,"21,000"
도적,Mech Rogue,54.9%,0.8%,"19,000"
도적,Big Rogue,49.7%,0.4%,"9,600"
도적,미라클 도적,45.9%,0.4%,"9,200"
도적,비밀 도적,42.9%,0.1%,"2,900"
도적,기타,36.9%,0.5%,"11,000"
주술사,하이랜더 주술사,54.1%,4.1%,"100,000"
주술사,정령 주술사,44.9%,0.7%,"18,000"
주술사,토템 주술사,46.8%,0.5%,"12,000"
주술사,자연 주술사,46.7%,0.2%,"5,300"
주술사,기타,36.7%,0.3%,"7,100"
흑마법사,Mining Warlock,48.6%,4.1%,"100,000"
흑마법사,저주 흑마법사,45.6%,0.8%,"21,000"
흑마법사,Sludge Warlock,39.3%,0.6%,"16,000"
흑마법사,하이랜더 흑마법사,45.9%,0.5%,"13,000"
흑마법사,타디우스 흑마법사,49.8%,0.5%,"12,000"
흑마법사,기타,43.4%,0.7%,"17,000"
전사,컨트롤 전사,48.2%,3.8%,"97,000"
전사,격노 전사,56.5%,1.3%,"34,000"
전사,하이랜더 전사,46.0%,0.5%,"12,000"
전사,Rock 'n' Roll Warrior,43.6%,0.5%,"11,000"
전사,도발 전사,37.4%,0.3%,"8,100"
전사,기타,39.4%,0.3%,"7,700"
