Hero,Deck,Winrate,Popular,Games
죽음의 기사,Plague Death Knight,50.0%,7.9%,"85,000"
죽음의 기사,혈기 죽음의 기사,49.4%,2.4%,"25,000"
죽음의 기사,Highlander Blood Death Knight,47.2%,0.8%,"8,500"
죽음의 기사,Rainbow Death Knight,39.6%,0.7%,"7,000"
죽음의 기사,냉기 죽음의 기사,43.1%,0.4%,"4,000"
죽음의 기사,부정 죽음의 기사,43.1%,0.3%,"2,700"
죽음의 기사,기타,40.0%,0.4%,"3,900"
악마사냥꾼,어그로 악마사냥꾼,52.7%,10.9%,"110,000"
악마사냥꾼,하이랜더 악마사냥꾼,39.3%,0.3%,"2,600"
악마사냥꾼,유물 악마사냥꾼,38.6%,0.1%,"1,500"
악마사냥꾼,기타,39.8%,0.2%,"1,700"
드루이드,용 드루이드,50.2%,5.1%,"55,000"
드루이드,하이랜더 드루이드,48.7%,4.6%,"49,000"
드루이드,나무정령 드루이드,51.5%,0.3%,"2,900"
드루이드,기타,34.2%,0.6%,"6,600"
사냥꾼,사냥개 사냥꾼,53.0%,3.9%,"41,000"
사냥꾼,하이랜더 사냥꾼,52.4%,1.2%,"12,000"
사냥꾼,비전 사냥꾼,51.1%,0.6%,"6,400"
사냥꾼,기타,45.1%,0.3%,"3,500"
마법사,Rainbow Mage,52.1%,6.5%,"70,000"
마법사,Mining Mage,48.6%,4.1%,"44,000"
마법사,비밀 마법사,46.7%,1.2%,"12,000"
마법사,하이랜더 마법사,41.9%,0.2%,"2,000"
마법사,Spooky Mage,45.9%,0.1%,"1,400"
마법사,기타,39.5%,0.3%,"3,100"
성기사,어그로 성기사,55.3%,6.0%,"64,000"
성기사,Showdown Paladin,54.5%,5.9%,"63,000"
성기사,하이랜더 성기사,51.1%,3.8%,"41,000"
성기사,신병 성기사,46.4%,0.4%,"3,800"
성기사,Earthen Paladin,47.6%,0.2%,"2,000"
성기사,기타,40.2%,0.5%,"5,700"
사제,컨트롤 사제,46.3%,3.9%,"41,000"
사제,하이랜더 사제,42.0%,0.6%,"6,000"
사제,언데드 사제,48.2%,0.5%,"5,000"
사제,Automaton Priest,42.7%,0.2%,"2,200"
사제,Ogre Priest,40.0%,0.1%,"1,500"
사제,기타,42.6%,0.3%,"3,600"
도적,Wishing Rogue,39.8%,1.1%,"12,000"
도적,미라클 도적,45.5%,0.8%,"8,600"
도적,Mining Rogue,35.0%,0.8%,"8,500"
도적,Mech Rogue,52.6%,0.7%,"7,600"
도적,Ogre Rogue,39.9%,0.7%,"7,300"
도적,Big Rogue,46.1%,0.3%,"3,600"
도적,비밀 도적,43.1%,0.1%,"1,400"
도적,기타,39.4%,0.5%,"4,800"
주술사,하이랜더 주술사,52.8%,6.5%,"70,000"
주술사,자연 주술사,46.5%,0.5%,"4,800"
주술사,정령 주술사,41.3%,0.4%,"4,500"
주술사,토템 주술사,48.5%,0.3%,"3,300"
주술사,기타,37.6%,0.3%,"2,900"
흑마법사,Mining Warlock,46.1%,2.1%,"22,000"
흑마법사,Sludge Warlock,36.4%,0.6%,"6,200"
흑마법사,하이랜더 흑마법사,43.7%,0.5%,"5,200"
흑마법사,저주 흑마법사,45.6%,0.4%,"4,200"
흑마법사,타디우스 흑마법사,49.2%,0.3%,"3,200"
흑마법사,기타,42.8%,0.5%,"5,200"
전사,컨트롤 전사,46.3%,3.2%,"35,000"
전사,격노 전사,54.2%,2.5%,"26,000"
전사,하이랜더 전사,46.7%,0.6%,"5,900"
전사,Rock 'n' Roll Warrior,41.4%,0.3%,"3,100"
전사,도발 전사,37.3%,0.2%,"2,400"
전사,기타,40.1%,0.2%,"2,600"
