Hero,Deck,Winrate,Popular,Games
죽음의 기사,Plague Death Knight,50.0%,7.9%,"92,000"
죽음의 기사,혈기 죽음의 기사,49.4%,2.5%,"29,000"
죽음의 기사,Highlander Blood Death Knight,47.3%,0.8%,"9,200"
죽음의 기사,Rainbow Death Knight,39.9%,0.6%,"7,500"
죽음의 기사,냉기 죽음의 기사,43.1%,0.4%,"4,300"
죽음의 기사,부정 죽음의 기사,43.3%,0.2%,"2,800"
죽음의 기사,기타,40.0%,0.4%,"4,200"
악마사냥꾼,어그로 악마사냥꾼,52.7%,10.8%,"120,000"
악마사냥꾼,하이랜더 악마사냥꾼,40.0%,0.2%,"2,800"
악마사냥꾼,유물 악마사냥꾼,38.4%,0.1%,"1,600"
악마사냥꾼,기타,39.7%,0.2%,"1,800"
드루이드,용 드루이드,50.2%,5.1%,"59,000"
드루이드,하이랜더 드루이드,48.7%,4.5%,"52,000"
드루이드,나무정령 드루이드,51.2%,0.3%,"3,100"
드루이드,기타,34.2%,0.6%,"7,000"
사냥꾼,사냥개 사냥꾼,53.1%,3.8%,"44,000"
사냥꾼,하이랜더 사냥꾼,52.5%,1.2%,"13,000"
사냥꾼,비전 사냥꾼,51.3%,0.6%,"6,800"
사냥꾼,기타,44.6%,0.3%,"3,700"
마법사,Rainbow Mage,52.1%,6.6%,"77,000"
마법사,Mining Mage,48.6%,4.2%,"48,000"
마법사,비밀 마법사,46.8%,1.2%,"13,000"
마법사,하이랜더 마법사,42.0%,0.2%,"2,000"
마법사,Spooky Mage,46.4%,0.1%,"1,500"
마법사,기타,39.7%,0.3%,"3,300"
성기사,어그로 성기사,55.2%,6.0%,"69,000"
성기사,Showdown Paladin,54.5%,5.9%,"68,000"
성기사,하이랜더 성기사,51.0%,3.7%,"43,000"
성기사,신병 성기사,46.3%,0.4%,"4,000"
성기사,Earthen Paladin,47.7%,0.2%,"2,200"
성기사,기타,40.0%,0.5%,"6,100"
사제,컨트롤 사제,46.4%,3.8%,"44,000"
사제,하이랜더 사제,42.0%,0.5%,"6,200"
사제,언데드 사제,48.3%,0.5%,"5,300"
사제,Automaton Priest,42.2%,0.2%,"2,300"
사제,Ogre Priest,40.4%,0.1%,"1,600"
사제,기타,42.2%,0.3%,"3,900"
도적,Wishing Rogue,39.8%,1.1%,"12,000"
도적,Mining Rogue,35.4%,0.8%,"9,300"
도적,미라클 도적,45.4%,0.8%,"9,100"
도적,Mech Rogue,52.4%,0.7%,"8,100"
도적,Ogre Rogue,40.3%,0.7%,"7,700"
도적,Big Rogue,46.5%,0.3%,"3,800"
도적,비밀 도적,43.0%,0.1%,"1,500"
도적,기타,39.7%,0.5%,"5,300"
주술사,하이랜더 주술사,52.7%,6.6%,"77,000"
주술사,자연 주술사,46.5%,0.4%,"5,100"
주술사,정령 주술사,41.6%,0.4%,"4,800"
주술사,토템 주술사,48.3%,0.3%,"3,500"
주술사,기타,37.6%,0.3%,"3,100"
흑마법사,Mining Warlock,46.0%,2.1%,"24,000"
흑마법사,Sludge Warlock,36.5%,0.6%,"6,500"
흑마법사,하이랜더 흑마법사,43.7%,0.5%,"5,700"
흑마법사,저주 흑마법사,45.4%,0.4%,"4,600"
흑마법사,타디우스 흑마법사,49.4%,0.3%,"3,400"
흑마법사,기타,42.7%,0.5%,"5,600"
전사,컨트롤 전사,46.2%,3.3%,"38,000"
전사,격노 전사,54.2%,2.5%,"29,000"
전사,하이랜더 전사,46.7%,0.6%,"6,400"
전사,Rock 'n' Roll Warrior,41.5%,0.3%,"3,300"
전사,도발 전사,37.2%,0.2%,"2,500"
전사,기타,40.1%,0.2%,"2,700"
