,부정 죽음의 기사,어그로 성기사,컨트롤 전사,용 드루이드,Plague Death Knight,Showdown Paladin,하이랜더 드루이드,컨트롤 사제,어그로 악마사냥꾼,Mining Warlock,Rainbow Mage,사냥개 사냥꾼,Unnamed: 13,Mining Mage
부정 죽음의 기사,"부정 죽음의 기사
Mirror matchup",32.90%,26.50%,18.05%,32.02%,18.44%,28.10%,33.83%,38.22%,27.23%,24.69%,27.87%,55.88%,33.23%
어그로 성기사,67.09%,"어그로 성기사
Mirror matchup",67.40%,71.23%,66.40%,49.75%,73.97%,68.88%,45.89%,64.73%,51.97%,65.06%,92.92%,60.95%
컨트롤 전사,73.49%,32.59%,"컨트롤 전사
Mirror matchup",33.92%,39.18%,35.78%,35.52%,54.88%,47.22%,41.26%,47.15%,44.68%,81.34%,44.44%
용 드루이드,81.94%,28.76%,66.07%,"용 드루이드
Mirror matchup",62.28%,31.20%,50.00%,55.85%,54.16%,62.50%,52.34%,52.10%,89.54%,63.88%
Plague Death Knight,67.97%,33.59%,60.81%,37.71%,"Plague Death Knight
Mirror matchup",35.46%,60.00%,68.75%,41.60%,51.96%,44.26%,36.13%,86.39%,47.05%
Showdown Paladin,81.55%,50.24%,64.21%,68.80%,64.53%,"Showdown Paladin
Mirror matchup",58.92%,64.00%,45.74%,50.00%,57.44%,62.19%,90.90%,56.52%
하이랜더 드루이드,71.89%,26.02%,64.47%,50.00%,40.00%,41.07%,"하이랜더 드루이드
Mirror matchup",61.60%,44.23%,49.03%,53.76%,42.73%,91.04%,75.00%
컨트롤 사제,66.16%,31.11%,44.36%,44.14%,31.25%,36.00%,38.39%,"컨트롤 사제
Mirror matchup",36.08%,49.43%,30.43%,34.61%,84.17%,21.27%
어그로 악마사냥꾼,61.77%,54.10%,52.77%,45.83%,58.40%,54.25%,55.76%,63.91%,"어그로 악마사냥꾼
Mirror matchup",58.33%,47.72%,38.82%,86.17%,62.50%
Mining Warlock,72.76%,35.26%,58.73%,37.50%,48.03%,50.00%,50.96%,50.56%,41.66%,"Mining Warlock
Mirror matchup",55.55%,48.31%,79.83%,42.85%
Rainbow Mage,75.30%,48.02%,52.84%,47.65%,55.73%,42.55%,46.23%,69.56%,52.27%,44.44%,"Rainbow Mage
Mirror matchup",36.76%,92.39%,62.50%
사냥개 사냥꾼,72.12%,34.93%,55.31%,47.89%,63.86%,37.80%,57.26%,65.38%,61.17%,51.68%,63.23%,"사냥개 사냥꾼
Mirror matchup",93.87%,71.42%
,44.11%,7.07%,18.65%,10.45%,13.60%,9.09%,8.95%,15.82%,13.82%,20.16%,7.60%,6.12%,"기타 전사
Mirror matchup",21.31%
Mining Mage,66.76%,39.04%,55.55%,36.11%,52.94%,43.47%,25.00%,78.72%,37.50%,57.14%,37.50%,28.57%,78.68%,"Mining Mage
Mirror matchup"
