Hero,Deck,Winrate,Popular,Games
죽음의 기사,부정 죽음의 기사,32.4%,10.1%,"13,000"
죽음의 기사,Plague Death Knight,56.6%,5.2%,"6,800"
죽음의 기사,혈기 죽음의 기사,35.9%,2.1%,"2,700"
죽음의 기사,냉기 죽음의 기사,45.1%,0.7%,980
죽음의 기사,Rainbow Death Knight,50.6%,0.6%,740
죽음의 기사,Highlander Blood Death Knight,63.1%,0.4%,490
죽음의 기사,기타,41.3%,0.8%,"1,000"
악마사냥꾼,어그로 악마사냥꾼,59.6%,3.9%,"5,100"
악마사냥꾼,유물 악마사냥꾼,47.5%,0.09%,120
악마사냥꾼,빅 악마사냥꾼,34.7%,0.09%,110
악마사냥꾼,하이랜더 악마사냥꾼,45.5%,0.07%,99
악마사냥꾼,기타,14.9%,0.3%,440
드루이드,용 드루이드,63.0%,5.3%,"6,900"
드루이드,하이랜더 드루이드,59.0%,4.4%,"5,700"
드루이드,나무정령 드루이드,58.5%,0.8%,"1,100"
드루이드,기타,31.5%,1.1%,"1,500"
사냥꾼,사냥개 사냥꾼,62.2%,3.3%,"4,300"
사냥꾼,비전 사냥꾼,57.0%,0.7%,960
사냥꾼,하이랜더 사냥꾼,63.2%,0.7%,860
사냥꾼,기타,35.1%,0.8%,"1,000"
마법사,Rainbow Mage,60.3%,3.5%,"4,600"
마법사,Mining Mage,55.9%,2.4%,"3,200"
마법사,비밀 마법사,60.3%,1.1%,"1,300"
마법사,Spooky Mage,53.8%,0.5%,650
마법사,정령 마법사,47.5%,0.2%,280
마법사,Lightshow Mage,37.3%,0.1%,170
마법사,기타,16.6%,2.1%,"2,800"
성기사,어그로 성기사,66.5%,7.0%,"9,200"
성기사,Showdown Paladin,66.1%,4.4%,"5,800"
성기사,하이랜더 성기사,64.9%,2.0%,"2,500"
성기사,신병 성기사,56.2%,0.4%,570
성기사,기타,41.4%,1.6%,"2,100"
사제,컨트롤 사제,51.1%,3.9%,"5,200"
사제,언데드 사제,56.2%,1.4%,"1,800"
사제,하이랜더 사제,49.7%,0.7%,860
사제,Automaton Priest,44.7%,0.2%,220
사제,기타,29.8%,0.6%,790
도적,Wishing Rogue,48.3%,1.3%,"1,600"
도적,Mining Rogue,46.6%,1.1%,"1,400"
도적,Ogre Rogue,51.0%,0.7%,920
도적,Mech Rogue,59.2%,0.6%,820
도적,미라클 도적,50.7%,0.4%,460
도적,Big Rogue,50.7%,0.2%,270
도적,비밀 도적,43.8%,0.1%,140
도적,기타,35.2%,1.3%,"1,700"
주술사,하이랜더 주술사,63.2%,1.9%,"2,500"
주술사,토템 주술사,56.4%,0.5%,650
주술사,정령 주술사,53.8%,0.3%,420
주술사,자연 주술사,47.4%,0.2%,210
주술사,기타,22.6%,0.5%,710
흑마법사,Mining Warlock,58.1%,3.6%,"4,700"
흑마법사,타디우스 흑마법사,52.2%,0.8%,"1,000"
흑마법사,저주 흑마법사,53.4%,0.6%,840
흑마법사,Sludge Warlock,51.2%,0.6%,780
흑마법사,하이랜더 흑마법사,44.3%,0.3%,390
흑마법사,기타,39.6%,1.3%,"1,700"
전사,컨트롤 전사,53.8%,5.4%,"7,000"
전사,격노 전사,61.1%,0.9%,"1,100"
전사,하이랜더 전사,47.9%,0.4%,500
전사,Rock 'n' Roll Warrior,53.1%,0.2%,290
전사,도발 전사,41.4%,0.2%,260
전사,기타,20.9%,2.4%,"3,200"
