Hero,Deck,Winrate,Popular,Games
죽음의 기사,Plague Death Knight,52.0%,8.2%,"100,000"
죽음의 기사,부정 죽음의 기사,33.8%,3.1%,"38,000"
죽음의 기사,혈기 죽음의 기사,48.6%,2.4%,"29,000"
죽음의 기사,Rainbow Death Knight,43.9%,0.8%,"9,800"
죽음의 기사,냉기 죽음의 기사,44.6%,0.7%,"8,600"
죽음의 기사,Highlander Blood Death Knight,50.1%,0.7%,"8,200"
죽음의 기사,기타,42.0%,0.7%,"8,800"
악마사냥꾼,어그로 악마사냥꾼,54.1%,3.6%,"44,000"
악마사냥꾼,하이랜더 악마사냥꾼,40.8%,0.3%,"3,300"
악마사냥꾼,유물 악마사냥꾼,38.8%,0.2%,"1,800"
악마사냥꾼,빅 악마사냥꾼,38.9%,0.1%,"1,400"
악마사냥꾼,기타,29.3%,0.2%,"2,200"
드루이드,용 드루이드,54.9%,7.5%,"92,000"
드루이드,하이랜더 드루이드,52.6%,4.7%,"57,000"
드루이드,나무정령 드루이드,54.1%,0.8%,"9,800"
드루이드,기타,34.6%,0.7%,"8,800"
사냥꾼,사냥개 사냥꾼,57.7%,3.9%,"48,000"
사냥꾼,하이랜더 사냥꾼,56.6%,1.1%,"13,000"
사냥꾼,비전 사냥꾼,55.7%,1.0%,"12,000"
사냥꾼,기타,43.1%,0.7%,"8,100"
마법사,Rainbow Mage,53.3%,3.2%,"39,000"
마법사,Mining Mage,48.5%,2.6%,"31,000"
마법사,비밀 마법사,53.6%,2.1%,"25,000"
마법사,Spooky Mage,46.1%,0.4%,"5,300"
마법사,정령 마법사,42.7%,0.3%,"3,200"
마법사,하이랜더 마법사,40.5%,0.2%,"2,100"
마법사,Lightshow Mage,38.4%,0.1%,"1,700"
마법사,기타,29.4%,0.7%,"8,800"
성기사,어그로 성기사,62.2%,7.0%,"85,000"
성기사,Showdown Paladin,60.1%,3.9%,"47,000"
성기사,하이랜더 성기사,56.5%,2.7%,"32,000"
성기사,신병 성기사,52.9%,0.5%,"6,200"
성기사,Earthen Paladin,47.8%,0.2%,"2,600"
성기사,기타,45.0%,1.3%,"15,000"
사제,컨트롤 사제,45.2%,2.6%,"32,000"
사제,언데드 사제,51.5%,1.4%,"17,000"
사제,하이랜더 사제,45.0%,0.9%,"11,000"
사제,Automaton Priest,42.8%,0.3%,"4,100"
사제,Ogre Priest,42.7%,0.3%,"3,100"
사제,기타,36.8%,0.5%,"5,500"
도적,Mining Rogue,37.4%,1.2%,"15,000"
도적,Ogre Rogue,45.0%,1.0%,"11,000"
도적,Wishing Rogue,40.1%,0.9%,"11,000"
도적,Mech Rogue,55.8%,0.8%,"9,600"
도적,Big Rogue,51.1%,0.4%,"5,200"
도적,미라클 도적,44.2%,0.3%,"3,100"
도적,비밀 도적,41.3%,0.1%,"1,500"
도적,기타,34.2%,0.7%,"8,500"
주술사,하이랜더 주술사,55.4%,3.3%,"40,000"
주술사,정령 주술사,47.6%,0.9%,"10,000"
주술사,토템 주술사,52.3%,0.7%,"8,300"
주술사,자연 주술사,45.1%,0.2%,"2,500"
주술사,기타,32.7%,0.4%,"5,000"
흑마법사,Mining Warlock,51.4%,4.9%,"59,000"
흑마법사,저주 흑마법사,46.9%,1.0%,"11,000"
흑마법사,Sludge Warlock,39.4%,0.7%,"8,100"
흑마법사,타디우스 흑마법사,51.1%,0.7%,"7,900"
흑마법사,하이랜더 흑마법사,46.2%,0.4%,"5,200"
흑마법사,기타,42.1%,1.0%,"11,000"
전사,컨트롤 전사,49.0%,4.5%,"55,000"
전사,격노 전사,56.6%,1.2%,"14,000"
전사,도발 전사,39.8%,0.5%,"6,200"
전사,Rock 'n' Roll Warrior,46.6%,0.5%,"6,200"
전사,하이랜더 전사,44.8%,0.5%,"6,000"
전사,기타,29.3%,0.7%,"8,900"
