Hero,Deck,Winrate,Popular,Games
죽음의 기사,Plague Death Knight,59.2%,6.3%,"34,000"
죽음의 기사,혈기 죽음의 기사,31.5%,3.0%,"16,000"
죽음의 기사,부정 죽음의 기사,42.3%,2.6%,"14,000"
죽음의 기사,냉기 죽음의 기사,48.8%,1.2%,"6,500"
죽음의 기사,Rainbow Death Knight,52.2%,0.6%,"2,900"
죽음의 기사,Highlander Blood Death Knight,59.6%,0.3%,"1,600"
죽음의 기사,기타,47.3%,1.4%,"7,600"
악마사냥꾼,어그로 악마사냥꾼,58.3%,2.3%,"12,000"
악마사냥꾼,빅 악마사냥꾼,40.3%,0.3%,"1,500"
악마사냥꾼,유물 악마사냥꾼,38.9%,0.3%,"1,400"
악마사냥꾼,하이랜더 악마사냥꾼,46.3%,0.2%,"1,000"
악마사냥꾼,기타,19.1%,0.5%,"2,800"
드루이드,용 드루이드,65.8%,6.5%,"35,000"
드루이드,하이랜더 드루이드,61.5%,3.4%,"18,000"
드루이드,나무정령 드루이드,62.3%,1.3%,"7,300"
드루이드,기타,36.6%,1.4%,"7,700"
사냥꾼,사냥개 사냥꾼,63.4%,3.1%,"17,000"
사냥꾼,비전 사냥꾼,60.4%,1.3%,"7,100"
사냥꾼,하이랜더 사냥꾼,60.5%,0.8%,"4,100"
사냥꾼,기타,44.9%,1.6%,"8,900"
마법사,Rainbow Mage,60.0%,2.4%,"13,000"
마법사,Mining Mage,51.5%,2.0%,"11,000"
마법사,비밀 마법사,64.9%,1.8%,"9,600"
마법사,Spooky Mage,50.1%,1.1%,"5,800"
마법사,정령 마법사,49.5%,0.6%,"3,000"
마법사,기계 마법사,53.8%,0.3%,"1,300"
마법사,하이랜더 마법사,41.3%,0.2%,"1,000"
마법사,Lightshow Mage,42.9%,0.2%,970
마법사,기타,25.9%,2.1%,"11,000"
성기사,어그로 성기사,71.3%,5.7%,"31,000"
성기사,Showdown Paladin,69.1%,2.7%,"14,000"
성기사,하이랜더 성기사,63.0%,1.7%,"9,000"
성기사,신병 성기사,55.2%,0.9%,"4,600"
성기사,Earthen Paladin,54.2%,0.2%,900
성기사,기타,46.6%,2.7%,"14,000"
사제,언데드 사제,59.9%,2.4%,"12,000"
사제,컨트롤 사제,50.2%,2.0%,"11,000"
사제,하이랜더 사제,53.4%,0.7%,"3,700"
사제,Automaton Priest,51.2%,0.5%,"2,800"
사제,Ogre Priest,51.6%,0.1%,650
사제,기타,29.9%,0.9%,"4,900"
도적,Mining Rogue,47.7%,1.5%,"8,000"
도적,Wishing Rogue,46.4%,1.1%,"5,800"
도적,Mech Rogue,59.2%,1.0%,"5,600"
도적,Ogre Rogue,54.5%,0.9%,"5,000"
도적,미라클 도적,49.9%,0.4%,"1,900"
도적,Big Rogue,60.1%,0.3%,"1,400"
도적,비밀 도적,48.5%,0.2%,"1,100"
도적,기타,34.5%,1.4%,"7,700"
주술사,하이랜더 주술사,63.3%,1.8%,"9,500"
주술사,토템 주술사,61.6%,0.9%,"4,800"
주술사,정령 주술사,58.3%,0.7%,"4,000"
주술사,자연 주술사,42.6%,0.3%,"1,600"
주술사,기타,34.1%,1.2%,"6,200"
흑마법사,Mining Warlock,60.9%,3.6%,"19,000"
흑마법사,타디우스 흑마법사,55.2%,1.1%,"5,800"
흑마법사,Sludge Warlock,46.4%,0.8%,"4,100"
흑마법사,저주 흑마법사,52.2%,0.8%,"4,100"
흑마법사,하이랜더 흑마법사,52.4%,0.3%,"1,400"
흑마법사,기타,40.0%,1.9%,"10,000"
전사,컨트롤 전사,56.4%,5.5%,"29,000"
전사,격노 전사,62.4%,1.2%,"6,200"
전사,도발 전사,47.3%,0.6%,"3,300"
전사,하이랜더 전사,43.9%,0.4%,"2,000"
전사,Rock 'n' Roll Warrior,51.2%,0.3%,"1,600"
전사,기타,25.7%,2.6%,"14,000"
